dataset,p_q,algorithm,mean_purity,num_clusters,ci
./synthetic_graphs/three_graphs/size_fifty\100_1.txt,100_1,spectral_clustering,0.6666666666666666,3,(0.7448050408254204, 0.9898616258412459)
./synthetic_graphs/three_graphs/size_fifty\100_10.txt,100_10,spectral_clustering,1.0,3,(0.8290144475339698, 1.0296522191326969)
./synthetic_graphs/three_graphs/size_fifty\100_20.txt,100_20,spectral_clustering,1.0,3,(0.7143254437838698, 0.9576745562161302)
./synthetic_graphs/three_graphs/size_fifty\100_30.txt,100_30,spectral_clustering,0.6666666666666666,3,(0.7435304274067209, 0.9898029059266122)
./synthetic_graphs/three_graphs/size_fifty\100_40.txt,100_40,spectral_clustering,0.6666666666666666,3,(0.7435304274067209, 0.9898029059266122)
./synthetic_graphs/three_graphs/size_fifty\100_50.txt,100_50,spectral_clustering,1.0,3,(0.7959613623714141, 1.0147053042952525)
./synthetic_graphs/three_graphs/size_fifty\10_1.txt,10_1,spectral_clustering,0.98,3,(0.8206769199109967, 1.0153230800890036)
./synthetic_graphs/three_graphs/size_fifty\10_point1.txt,10_point1,spectral_clustering,0.68,3,(0.6629764957887039, 0.8770235042112959)
./synthetic_graphs/three_graphs/size_fifty\20_1.txt,20_1,spectral_clustering,0.6733333333333333,3,(0.7455583515348837, 0.9877749817984495)
./synthetic_graphs/three_graphs/size_fifty\20_5.txt,20_5,spectral_clustering,0.9066666666666666,3,(0.8077458384684787, 0.9215874948648547)
./synthetic_graphs/three_graphs/size_fifty\30_1.txt,30_1,spectral_clustering,0.9866666666666667,3,(0.7977563671365671, 1.0062436328634328)
./synthetic_graphs/three_graphs/size_fifty\40_1.txt,40_1,spectral_clustering,0.68,3,(0.6546238696339717, 0.880042797032695)
./synthetic_graphs/three_graphs/size_fifty\40_10.txt,40_10,spectral_clustering,0.9933333333333333,3,(0.7845398212230548, 1.0101268454436119)
./synthetic_graphs/three_graphs/size_fifty\50_1.txt,50_1,spectral_clustering,1.0,3,(0.8912614279086335, 1.0420719054246996)
./synthetic_graphs/three_graphs/size_fifty\50_10.txt,50_10,spectral_clustering,1.0,3,(0.7876782954445662, 1.0149883712221004)
./synthetic_graphs/three_graphs/size_fifty\60_1.txt,60_1,spectral_clustering,0.6666666666666666,3,(0.7855527385814027, 1.0131139280852637)
./synthetic_graphs/three_graphs/size_fifty\60_10.txt,60_10,spectral_clustering,1.0,3,(0.8361371546895036, 1.03319617864383)
./synthetic_graphs/three_graphs/size_fifty\60_20.txt,60_20,spectral_clustering,0.9866666666666667,3,(0.8326838045102907, 1.025982862156376)
./synthetic_graphs/three_graphs/size_fifty\70_1.txt,70_1,spectral_clustering,0.9933333333333333,3,(0.8306925760848584, 1.0293074239151414)
./synthetic_graphs/three_graphs/size_fifty\70_10.txt,70_10,spectral_clustering,0.9933333333333333,3,(0.7848742694406086, 1.0111257305593913)
./synthetic_graphs/three_graphs/size_fifty\70_20.txt,70_20,spectral_clustering,1.0,3,(0.7876782954445662, 1.0149883712221004)
./synthetic_graphs/three_graphs/size_fifty\70_30.txt,70_30,spectral_clustering,1.0,3,(0.7863086437011116, 1.0110246896322215)
./synthetic_graphs/three_graphs/size_fifty\80_1.txt,80_1,spectral_clustering,0.9933333333333333,3,(0.7147677160123734, 0.9558989506542933)
./synthetic_graphs/three_graphs/size_fifty\80_10.txt,80_10,spectral_clustering,1.0,3,(0.8344499821946905, 1.0295500178053096)
./synthetic_graphs/three_graphs/size_fifty\80_20.txt,80_20,spectral_clustering,1.0,3,(0.8336257263949878, 1.0277076069383455)
./synthetic_graphs/three_graphs/size_fifty\80_30.txt,80_30,spectral_clustering,0.6733333333333333,3,(0.8344587377994424, 1.0335412622005575)
./synthetic_graphs/five_graphs/size_50\100_1.txt,100_1,spectral_clustering,0.788,5,(0.7741272561005254, 0.8978727438994746)
./synthetic_graphs/five_graphs/size_50\100_10.txt,100_10,spectral_clustering,1.0,5,(0.8256880942222775, 0.9735119057777226)
./synthetic_graphs/five_graphs/size_50\100_15.txt,100_15,spectral_clustering,0.796,5,(0.7016515231727356, 0.8199484768272645)
./synthetic_graphs/five_graphs/size_50\100_20.txt,100_20,spectral_clustering,0.804,5,(0.7165841003037022, 0.9242158996962978)
./synthetic_graphs/five_graphs/size_50\100_25.txt,100_25,spectral_clustering,0.8,5,(0.7500097804903301, 0.93079021950967)
./synthetic_graphs/five_graphs/size_50\100_30.txt,100_30,spectral_clustering,0.8,5,(0.7348170064311083, 0.8683829935688917)
./synthetic_graphs/five_graphs/size_50\100_5.txt,100_5,spectral_clustering,1.0,5,(0.6741440747714983, 0.8842559252285017)
./synthetic_graphs/five_graphs/size_50\10_1.txt,10_1,spectral_clustering,0.732,5,(0.7182771447523794, 0.7297228552476206)
./synthetic_graphs/five_graphs/size_50\10_point1.txt,10_point1,spectral_clustering,0.796,5,(0.6950421567807225, 0.8537578432192775)
./synthetic_graphs/five_graphs/size_50\20_1.txt,20_1,spectral_clustering,0.8,5,(0.778020714671402, 0.867579285328598)
./synthetic_graphs/five_graphs/size_50\20_5.txt,20_5,spectral_clustering,0.524,5,(0.4908190494189158, 0.5491809505810842)
./synthetic_graphs/five_graphs/size_50\20_point1.txt,20_point1,spectral_clustering,0.8,5,(0.7389801658964982, 0.8994198341035019)
./synthetic_graphs/five_graphs/size_50\30_1.txt,30_1,spectral_clustering,1.0,5,(0.7908899571190192, 0.929110042880981)
./synthetic_graphs/five_graphs/size_50\30_5.txt,30_5,spectral_clustering,1.0,5,(0.6835370560213949, 0.9156629439786053)
./synthetic_graphs/five_graphs/size_50\40_1.txt,40_1,spectral_clustering,0.996,5,(0.7632089956383111, 0.9543910043616891)
./synthetic_graphs/five_graphs/size_50\40_10.txt,40_10,spectral_clustering,0.792,5,(0.8188697376823302, 0.9691302623176696)
./synthetic_graphs/five_graphs/size_50\40_5.txt,40_5,spectral_clustering,0.8,5,(0.805995891315152, 0.9508041086848481)
./synthetic_graphs/five_graphs/size_50\50_1.txt,50_1,spectral_clustering,0.8,5,(0.7998459221154901, 0.9321540778845099)
./synthetic_graphs/five_graphs/size_50\50_10.txt,50_10,spectral_clustering,0.8,5,(0.7317312284612852, 0.866668771538715)
./synthetic_graphs/five_graphs/size_50\50_5.txt,50_5,spectral_clustering,0.996,5,(0.8053870457366057, 0.9522129542633944)
./synthetic_graphs/five_graphs/size_50\60_1.txt,60_1,spectral_clustering,1.0,5,(0.8061182564440328, 0.9538817435559674)
./synthetic_graphs/five_graphs/size_50\60_10.txt,60_10,spectral_clustering,0.996,5,(0.8248807094318331, 0.9727192905681672)
./synthetic_graphs/five_graphs/size_50\60_15.txt,60_15,spectral_clustering,0.8,5,(0.7757325648011744, 0.8642674351988258)
./synthetic_graphs/five_graphs/size_50\60_20.txt,60_20,spectral_clustering,0.8,5,(0.822180284825728, 0.9730197151742721)
./synthetic_graphs/five_graphs/size_50\60_5.txt,60_5,spectral_clustering,0.8,5,(0.7795247672373163, 0.8980752327626836)
./synthetic_graphs/five_graphs/size_50\70_1.txt,70_1,spectral_clustering,0.828,5,(0.7947906611607093, 0.9308093388392907)
./synthetic_graphs/five_graphs/size_50\70_10.txt,70_10,spectral_clustering,0.996,5,(0.8241963408183983, 0.9726036591816021)
./synthetic_graphs/five_graphs/size_50\70_15.txt,70_15,spectral_clustering,1.0,5,(0.82388833373107, 0.9753116662689302)
./synthetic_graphs/five_graphs/size_50\70_20.txt,70_20,spectral_clustering,0.796,5,(0.7241354763309007, 0.9318645236690992)
./synthetic_graphs/five_graphs/size_50\70_30.txt,70_30,spectral_clustering,1.0,5,(0.7916635610461786, 1.0003364389538216)
./synthetic_graphs/five_graphs/size_50\70_5.txt,70_5,spectral_clustering,0.804,5,(0.8258874137329864, 0.9749125862670136)
./synthetic_graphs/five_graphs/size_50\80_1.txt,80_1,spectral_clustering,0.996,5,(0.7978488586650239, 0.999751141334976)
./synthetic_graphs/five_graphs/size_50\80_10.txt,80_10,spectral_clustering,0.8,5,(0.8244915370367404, 0.9747084629632597)
./synthetic_graphs/five_graphs/size_50\80_15.txt,80_15,spectral_clustering,0.8,5,(0.8450285456970135, 0.9925714543029867)
./synthetic_graphs/five_graphs/size_50\80_20.txt,80_20,spectral_clustering,1.0,5,(0.7814384450395766, 0.9793615549604235)
./synthetic_graphs/five_graphs/size_50\80_30.txt,80_30,spectral_clustering,0.996,5,(0.8705251609135085, 1.0054748390864916)
./synthetic_graphs/five_graphs/size_50\80_5.txt,80_5,spectral_clustering,0.996,5,(0.7638245412818291, 0.955375458718171)
./synthetic_graphs/five_graphs/size_50\90_1.txt,90_1,spectral_clustering,0.8,5,(0.7385319822367771, 0.8990680177632231)
./synthetic_graphs/five_graphs/size_50\90_10.txt,90_10,spectral_clustering,0.8,5,(0.7471487799875562, 0.9008512200124439)
./synthetic_graphs/five_graphs/size_50\90_15.txt,90_15,spectral_clustering,0.996,5,(0.7810567866346698, 0.9773432133653301)
./synthetic_graphs/five_graphs/size_50\90_20.txt,90_20,spectral_clustering,0.8,5,(0.8067593812663926, 0.9540406187336078)
./synthetic_graphs/five_graphs/size_50\90_25.txt,90_25,spectral_clustering,0.796,5,(0.7346383589384645, 0.8669616410615356)
./synthetic_graphs/five_graphs/size_50\90_30.txt,90_30,spectral_clustering,0.996,5,(0.6998795038138769, 0.9449204961861232)
./synthetic_graphs/five_graphs/size_50\90_5.txt,90_5,spectral_clustering,0.608,5,(0.6768584254867215, 0.8847415745132784)
./synthetic_graphs/ten_graphs/size_50\100_1.txt,100_1,spectral_clustering,0.698,10,(0.7144289835347974, 0.8531710164652024)
./synthetic_graphs/ten_graphs/size_50\100_2.txt,100_2,spectral_clustering,0.8,10,(0.7386891821283561, 0.8801108178716441)
./synthetic_graphs/ten_graphs/size_50\100_3.txt,100_3,spectral_clustering,0.898,10,(0.73750245560346, 0.84169754439654)
./synthetic_graphs/ten_graphs/size_50\100_5.txt,100_5,spectral_clustering,0.7,10,(0.7238070530876373, 0.8357929469123628)
./synthetic_graphs/ten_graphs/size_50\100_point1.txt,100_point1,spectral_clustering,0.8,10,(0.7745048074823287, 0.8642951925176715)
./synthetic_graphs/ten_graphs/size_50\100_point5.txt,100_point5,spectral_clustering,0.898,10,(0.6973941515782707, 0.7986058484217293)
./synthetic_graphs/ten_graphs/size_50\10_1.txt,10_1,spectral_clustering,0.328,10,(0.31347557728988895, 0.364524422710111)
./synthetic_graphs/ten_graphs/size_50\10_point1.txt,10_point1,spectral_clustering,0.794,10,(0.6604965644156289, 0.8507034355843712)
./synthetic_graphs/ten_graphs/size_50\20_1.txt,20_1,spectral_clustering,0.788,10,(0.7469990257827096, 0.8426009742172905)
./synthetic_graphs/ten_graphs/size_50\20_5.txt,20_5,spectral_clustering,0.266,10,(0.2349897113293876, 0.2958102886706123)
./synthetic_graphs/ten_graphs/size_50\20_point1.txt,20_point1,spectral_clustering,0.7,10,(0.7060799308802812, 0.8531200691197189)
./synthetic_graphs/ten_graphs/size_50\20_point5.txt,20_point5,spectral_clustering,0.8,10,(0.7521314236843176, 0.8494685763156825)
./synthetic_graphs/ten_graphs/size_50\30_1.txt,30_1,spectral_clustering,1.0,10,(0.7250925968888389, 0.8753074031111612)
./synthetic_graphs/ten_graphs/size_50\30_5.txt,30_5,spectral_clustering,0.804,10,(0.7702232447055065, 0.8421767552944933)
./synthetic_graphs/ten_graphs/size_50\30_point1.txt,30_point1,spectral_clustering,0.698,10,(0.6633257550007369, 0.7762742449992631)
./synthetic_graphs/ten_graphs/size_50\30_point5.txt,30_point5,spectral_clustering,0.998,10,(0.7708977796390988, 0.8879022203609013)
./synthetic_graphs/ten_graphs/size_50\40_1.txt,40_1,spectral_clustering,0.7,10,(0.719520066819131, 0.860879933180869)
./synthetic_graphs/ten_graphs/size_50\40_5.txt,40_5,spectral_clustering,0.898,10,(0.7891276896736861, 0.8884723103263139)
./synthetic_graphs/ten_graphs/size_50\40_point1.txt,40_point1,spectral_clustering,0.898,10,(0.739285863420834, 0.8815141365791662)
./synthetic_graphs/ten_graphs/size_50\40_point5.txt,40_point5,spectral_clustering,0.7,10,(0.7540502018947262, 0.849549798105274)
./synthetic_graphs/ten_graphs/size_50\50_1.txt,50_1,spectral_clustering,0.602,10,(0.6988584871725317, 0.8603415128274684)
./synthetic_graphs/ten_graphs/size_50\50_5.txt,50_5,spectral_clustering,0.898,10,(0.7660612322003678, 0.8335387677996321)
./synthetic_graphs/ten_graphs/size_50\50_point1.txt,50_point1,spectral_clustering,0.9,10,(0.6735883339477112, 0.8652116660522887)
./synthetic_graphs/ten_graphs/size_50\50_point5.txt,50_point5,spectral_clustering,0.7,10,(0.6637916043071118, 0.777008395692888)
./synthetic_graphs/ten_graphs/size_50\60_1.txt,60_1,spectral_clustering,0.998,10,(0.7280871344082537, 0.8523128655917463)
./synthetic_graphs/ten_graphs/size_50\60_10.txt,60_10,spectral_clustering,0.798,10,(0.7247463763282845, 0.8740536236717157)
./synthetic_graphs/ten_graphs/size_50\60_5.txt,60_5,spectral_clustering,0.802,10,(0.7637258738455773, 0.8758741261544228)
./synthetic_graphs/ten_graphs/size_50\60_point1.txt,60_point1,spectral_clustering,0.8,10,(0.6711510313099224, 0.8092489686900773)
./synthetic_graphs/ten_graphs/size_50\60_point5.txt,60_point5,spectral_clustering,0.802,10,(0.7223356989797449, 0.818864301020255)
./synthetic_graphs/ten_graphs/size_50\70_1.txt,70_1,spectral_clustering,0.9,10,(0.7461944439268383, 0.8934055560731619)
./synthetic_graphs/ten_graphs/size_50\70_10.txt,70_10,spectral_clustering,0.7,10,(0.7540417309246279, 0.903958269075372)
./synthetic_graphs/ten_graphs/size_50\70_3.txt,70_3,spectral_clustering,0.702,10,(0.7216868680862669, 0.817513131913733)
./synthetic_graphs/ten_graphs/size_50\70_5.txt,70_5,spectral_clustering,0.7,10,(0.6999206434029437, 0.8196793565970564)
./synthetic_graphs/ten_graphs/size_50\70_point1.txt,70_point1,spectral_clustering,0.8,10,(0.724619423653699, 0.8953805763463009)
./synthetic_graphs/ten_graphs/size_50\70_point5.txt,70_point5,spectral_clustering,0.802,10,(0.7119327418879661, 0.8688672581120339)
./synthetic_graphs/ten_graphs/size_50\80_1.txt,80_1,spectral_clustering,0.7,10,(0.7070688802266644, 0.8537311197733358)
./synthetic_graphs/ten_graphs/size_50\80_3.txt,80_3,spectral_clustering,0.7,10,(0.7543117771347223, 0.8848882228652777)
./synthetic_graphs/ten_graphs/size_50\80_5.txt,80_5,spectral_clustering,0.9,10,(0.6943628696713443, 0.8456371303286557)
./synthetic_graphs/ten_graphs/size_50\80_point1.txt,80_point1,spectral_clustering,0.8,10,(0.659574057802847, 0.840425942197153)
./synthetic_graphs/ten_graphs/size_50\80_point5.txt,80_point5,spectral_clustering,0.702,10,(0.7482707826588604, 0.8717292173411395)
./synthetic_graphs/ten_graphs/size_50\90_1.txt,90_1,spectral_clustering,0.7,10,(0.7484659911183884, 0.8287340088816115)
./synthetic_graphs/ten_graphs/size_50\90_3.txt,90_3,spectral_clustering,0.9,10,(0.7479753915603959, 0.8728246084396043)
./synthetic_graphs/ten_graphs/size_50\90_5.txt,90_5,spectral_clustering,0.898,10,(0.6946623212886625, 0.8449376787113374)
./synthetic_graphs/ten_graphs/size_50\90_point1.txt,90_point1,spectral_clustering,0.7,10,(0.6994237847544482, 0.8197762152455519)
./synthetic_graphs/ten_graphs/size_50\90_point5.txt,90_point5,spectral_clustering,0.802,10,(0.7425617822882423, 0.8578382177117575)
