dataset,p_q,algorithm,purity,num_clusters
./synthetic_graphs/five_graphs/size_50\100_1.txt,100_1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\100_10.txt,100_10,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\100_15.txt,100_15,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\100_20.txt,100_20,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\100_25.txt,100_25,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\100_30.txt,100_30,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\100_5.txt,100_5,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\10_1.txt,10_1,Classical-Girvan-Newman,0.4,5
./synthetic_graphs/five_graphs/size_50\10_point1.txt,10_point1,Classical-Girvan-Newman,0.992,5
./synthetic_graphs/five_graphs/size_50\20_1.txt,20_1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\20_5.txt,20_5,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\20_point1.txt,20_point1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\30_1.txt,30_1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\30_5.txt,30_5,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\40_1.txt,40_1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\40_10.txt,40_10,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\40_5.txt,40_5,Classical-Girvan-Newman,0.996,5
./synthetic_graphs/five_graphs/size_50\50_1.txt,50_1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\50_10.txt,50_10,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\50_5.txt,50_5,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\60_1.txt,60_1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\60_10.txt,60_10,Classical-Girvan-Newman,0.8,5
./synthetic_graphs/five_graphs/size_50\60_15.txt,60_15,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\60_20.txt,60_20,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\60_5.txt,60_5,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\70_1.txt,70_1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\70_10.txt,70_10,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\70_15.txt,70_15,Classical-Girvan-Newman,0.8,5
./synthetic_graphs/five_graphs/size_50\70_20.txt,70_20,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\70_30.txt,70_30,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\70_5.txt,70_5,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\80_1.txt,80_1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\80_10.txt,80_10,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\80_15.txt,80_15,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\80_20.txt,80_20,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\80_30.txt,80_30,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\80_5.txt,80_5,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\90_1.txt,90_1,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\90_10.txt,90_10,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\90_15.txt,90_15,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\90_20.txt,90_20,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/five_graphs/size_50\90_25.txt,90_25,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\90_30.txt,90_30,Classical-Girvan-Newman,0.216,5
./synthetic_graphs/five_graphs/size_50\90_5.txt,90_5,Classical-Girvan-Newman,1.0,5
./synthetic_graphs/ten_graphs/size_50\100_1.txt,100_1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\100_2.txt,100_2,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\100_3.txt,100_3,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\100_5.txt,100_5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\100_point1.txt,100_point1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\100_point5.txt,100_point5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\10_1.txt,10_1,Classical-Girvan-Newman,0.124,10
./synthetic_graphs/ten_graphs/size_50\10_point1.txt,10_point1,Classical-Girvan-Newman,0.992,10
./synthetic_graphs/ten_graphs/size_50\20_1.txt,20_1,Classical-Girvan-Newman,0.98,10
./synthetic_graphs/ten_graphs/size_50\20_5.txt,20_5,Classical-Girvan-Newman,0.118,10
./synthetic_graphs/ten_graphs/size_50\20_point1.txt,20_point1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\20_point5.txt,20_point5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\30_1.txt,30_1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\30_5.txt,30_5,Classical-Girvan-Newman,0.118,10
./synthetic_graphs/ten_graphs/size_50\30_point1.txt,30_point1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\30_point5.txt,30_point5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\40_1.txt,40_1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\40_5.txt,40_5,Classical-Girvan-Newman,0.118,10
./synthetic_graphs/ten_graphs/size_50\40_point1.txt,40_point1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\40_point5.txt,40_point5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\50_1.txt,50_1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\50_5.txt,50_5,Classical-Girvan-Newman,0.136,10
./synthetic_graphs/ten_graphs/size_50\50_point1.txt,50_point1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\50_point5.txt,50_point5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\60_1.txt,60_1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\60_10.txt,60_10,Classical-Girvan-Newman,0.118,10
./synthetic_graphs/ten_graphs/size_50\60_5.txt,60_5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\60_point1.txt,60_point1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\60_point5.txt,60_point5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\70_1.txt,70_1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\70_10.txt,70_10,Classical-Girvan-Newman,0.118,10
./synthetic_graphs/ten_graphs/size_50\70_3.txt,70_3,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\70_5.txt,70_5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\70_point1.txt,70_point1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\70_point5.txt,70_point5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\80_1.txt,80_1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\80_3.txt,80_3,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\80_5.txt,80_5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\80_point1.txt,80_point1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\80_point5.txt,80_point5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\90_1.txt,90_1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\90_3.txt,90_3,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\90_5.txt,90_5,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\90_point1.txt,90_point1,Classical-Girvan-Newman,1.0,10
./synthetic_graphs/ten_graphs/size_50\90_point5.txt,90_point5,Classical-Girvan-Newman,1.0,10
