dataset,p_q,algorithm,purity,num_clusters,k
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,0.36666666666666664,3,0.1
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,0.36666666666666664,3,0.5
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,0.36666666666666664,3,1
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,0.1
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,0.5
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,1
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,2
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,3
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,4
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,5
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,10
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,11
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,12
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,13
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,14
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,15
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,16
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,17
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,18
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,19
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,20
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,50
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,girvan-newman,0.36666666666666664,3,100
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,0.36666666666666664,3,0.1
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,0.5
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,0.36666666666666664,3,0.1
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,0.36666666666666664,3,0.5
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,0.36666666666666664,3,0.1
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,0.36666666666666664,3,0.5
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,0.1
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,0.5
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,1
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,2
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,3
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,4
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,5
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,10
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,11
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,12
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,13
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,14
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,15
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,16
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,17
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,18
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,19
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,20
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,50
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,girvan-newman,0.36666666666666664,3,100
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,0.36666666666666664,3,0.1
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,0.36666666666666664,3,0.5
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,0.36666666666666664,3,1
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,0.6833333333333333,3,2
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_twenty\50_point1.txt,50_point1,girvan-newman,0.36666666666666664,3,0.1
./synthetic_graphs/three_graphs/size_twenty\50_point1.txt,50_point1,girvan-newman,1.0,3,0.5
./synthetic_graphs/three_graphs/size_twenty\50_point1.txt,50_point1,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_twenty\50_point1.txt,50_point1,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_twenty\50_point1.txt,50_point1,girvan-newman,1.0,3,3
